Group,Grant,Amount,Who Applies,Deadline / Timing,Status,Next Step
DO NOW,Amber Grant,"$10,000/mo",Ashley (51%),Rolling monthly,Not started,Paste essay + pay $15 at ambergrantsforwomen.com
DO NOW,Galaxy Grants,"$4,250",Either,Jul 31 2026,Not started,Paste galaxy_grant_entry.md at hiddenstar.org
DO NOW,NRCS EQIP (water),50-90% of cost,Carl,Ongoing (ask ranking date),Not started,Call Pima NRCS - use nrcs_call_script.md
DO NOW,AZ Organic Cost-Share,75% up to $750,Either,Dec 31 2026,Not started,Call Robert Nick 602-542-0439
DO NOW,NASE Growth Grant,"up to $4,000",Either,Year-round (members),Not started,Join NASE (~$120/yr) then apply
DO NOW,Freed Fellowship,"$500/mo + $2,500/yr",Ashley,Rolling monthly ($19),Not started,Apply at thefreedfellowship.com
DO NOW,The Pollination Project,"$1,000",Either,Rolling (daily awards),Not started,Use community-project angle in bundle
DO NOW,Venmo Small Business Grant,"$20,000",Either,Check current round,Not started,Qualifies (under $50k revenue)
DO NOW,Verizon Digital Ready,"$10,000/mo",Either,Monthly Jun-Dec (one app),Not started,Apply once at digitalready.verizonwireless.com
FREE SIGNUP,Hello Alice,varies,Either,Rolling,Not started,Free account at helloalice.com
FREE SIGNUP,IFundWomen,varies,Ashley,Rolling,Not started,Universal app at ifundwomen.com
BIG / WATCH,USDA Business Builder Award,"up to $100,000",Either,Check status (localfirstaz.com),Not started,Draft ready in big_apps/ - need equipment budget
BIG / WATCH,USDA VAPG,"up to ~$50k (simplified)",Either,~early 2027,Not started,Drafts in vapg/ - need equipment budget
BIG / WATCH,AgWest New Producer Grant,"$15,000",Either,2026 closed - watch spring 2027,Not started,Draft ready in big_apps/ - verify AZ territory
BIG / WATCH,AFT Brighter Future Fund,"up to $10,000",Either,Next cycle 2026,Not started,Watch farmland.org/brighterfuture
BIG / WATCH,FruitGuys Community Fund,"up to $5,000",Either,Reopens ~late 2026,Not started,Water/pollinator project angle
BIG / WATCH,Western SARE Farmer/Rancher,"~$25-30k",Either,Annual cycle,Not started,Elderberry/mulberry + water trial
BIG / WATCH,REAP,"$1.5k-$500k",Either,Rolling quarterly,Not started,Solar irrigation / cold storage
BIG / WATCH,USDA FMPP,"up to $500,000",Either,~2027,Not started,Agritourism / U-pick angle
BIG / WATCH,AZ Specialty Crop Block Grant,varies,Either,~March 2027,Not started,Research/industry angle
BIG / WATCH,AZ RFSI (food infrastructure),competitive,Either,Next cycle,Not started,Watch agriculture.az.gov
BIG / WATCH,AZ Water Conservation Grant Fund (WIFA),varies,Either,Check cycle,Not started,azwifa.gov - irrigation efficiency
BIG / WATCH,National Young Farmers Coalition grant,"$5,000",Either,Check cycle,Not started,Verify 'young' age rule - youngfarmers.org
BIG / WATCH,Tory Burch Fellows,"$5,000 + program",Ashley,Annual (closed - watch),Not started,toryburchfoundation.org
BIG / WATCH,Xerces Bee Better (pollinator),program,Either,Ongoing,Not started,For elderberry/mulberry plantings
CAPITAL TOOL,Kiva,"up to $15,000 (0% interest)",Either,Rolling,Not started,Crowdfunded 0% loan - kiva.org
CAPITAL TOOL,Whole Foods Local Producer Loan,"up to $100,000 (low-interest)",Either,Anytime,Not started,Also a potential buyer
CAPITAL TOOL,AZ Microbusiness Loan,micro,Either,Rolling,Not started,oeo.az.gov/microbiz
CHECK ELIGIBILITY,Comcast RISE,"$5,000 + marketing",Ashley,Check,Not started,Confirm Tucson is Comcast service area (may be Cox)
SAFETY NET,NAP (crop disaster),coverage,Either,Enroll before season,Not started,Set up at FSA office
SAFETY NET,Tree Assistance Program (TAP),65% tree replant,Either,Within 90 days of loss,Not started,FSA office if trees lost to disaster
NOT ELIGIBLE,HerRise Microgrant,"$1,000",-,-,Skip,Targets women of color - not eligible
NOT ELIGIBLE,Clif Family Foundation,"$5k-50k",-,-,Skip,Nonprofits only
NOT ELIGIBLE,Horizon Farm Credit YBS,"$20,000",-,-,Skip,Mid-Atlantic territory only
NOT ELIGIBLE,FedEx Small Business Grant,-,-,-,Skip,Program retired 2024
