Section,Item,Purpose / Product,Typical Range,Your Quote,Priority (H/M/L),Fund Via,Notes
A. Processing,Cider press (small commercial),Cider,"$2,000-8,000",,,VAPG / Business Builder,
A. Processing,Fruit washer / grinder,Cider prep,"$500-3,000",,,VAPG / Business Builder,
A. Processing,Pasteurizer,Cider juice safety,"$2,000-10,000",,,VAPG / Business Builder,Needed if selling sweet cider
A. Processing,Bottling / jugging + bottles,Cider,"$500-3,000",,,VAPG / Business Builder,
A. Processing,Commercial dehydrator(s),Dried fruit,"$500-5,000 ea",,,VAPG / Business Builder,How many?
A. Processing,Vacuum sealer / packaging,Dried fruit,"$200-1,500",,,VAPG / Business Builder,
A. Processing,Commercial oven / range,Pies,"$1,500-8,000",,,VAPG / Business Builder,Needs licensed kitchen
A. Processing,Jam kitchen upgrade,Jams/jellies,"$500-3,000",,,VAPG / Business Builder,Kettle canner jars
A. Processing,Stainless prep tables / 3-comp sink,All,"$1,000-5,000",,,VAPG / Business Builder,Food-safety requirement
B. Facility,Licensed kitchen build-out,"Pies, cider, packaged goods","$5,000-50,000+",,,VAPG / Business Builder,Build on-farm OR...
B. Facility,Commissary / shared kitchen rental,Same,"$15-30/hr",,,VAPG / Business Builder,...rent instead - pick one
B. Facility,Cold storage / walk-in cooler,Fruit + product,"$2,000-15,000",,,VAPG / Business Builder,
B. Facility,Freezer(s),"Pies, dried, culls","$500-3,000",,,VAPG / Business Builder,
C. Packaging & Market,"Labels, jars, bottles, boxes",All products,"$500-3,000",,,VAPG / Business Builder,
C. Packaging & Market,Branding / logo / design,Brand,"$500-3,000",,,VAPG / Business Builder,
C. Packaging & Market,E-commerce website / online store,Year-round sales,"$500-5,000",,,Verizon / VAPG,Verizon grant angle
C. Packaging & Market,Farm store / point-of-sale,On-farm sales,"$1,000-10,000",,,VAPG / Business Builder,
C. Packaging & Market,Farmers-market setup,Off-farm sales,"$500-2,000",,,VAPG / Business Builder,"Canopy, tables, scale, signage"
D. Water & Energy,Drip / micro-irrigation upgrade,Efficiency,"$2,000-10,000",,,NRCS EQIP,EQIP 50-90%
D. Water & Energy,Rainwater harvesting,Water supply,"$2,000-15,000",,,EQIP / AZ water,"Tanks, gutters, cistern"
D. Water & Energy,Soil-moisture sensors / controller,Water mgmt,"$200-2,000",,,NRCS EQIP,
D. Water & Energy,Solar water pump,Pumping,"$2,000-15,000",,,REAP,REAP-eligible
TOTALS,Subtotal A - Processing,,,,,VAPG / Business Builder,
TOTALS,Subtotal B - Facility,,,,,VAPG / Business Builder,
TOTALS,Subtotal C - Packaging & Market,,,,,VAPG / Business Builder / Verizon,
TOTALS,Subtotal D - Water & Energy,,,,,EQIP / AZ water / REAP,
TOTALS,GRAND TOTAL,,,,,,
